DataID,ClassID,MethodID,Line,InstructionIndex,EventType,ValueDesc,Attributes
192,1,4,16,22,CALL,V,"opcode=INVOKESTATIC,owner=java/lang/Integer,name=valueOf,desc=(I)Ljava/lang/Integer;,methodtype=static"
193,1,4,16,22,CALL_PARAM,I,"index=0,type=I"
194,1,4,16,22,CALL_RETURN,Ljava/lang/Object;,"type=Ljava/lang/Integer;"
195,1,4,16,23,LOCAL_STORE,Ljava/lang/Object;,"varindex=3,name=result,type=Ljava/lang/Integer;"
196,1,4,14,24,LABEL,I,"null"
197,1,4,14,25,LINE_NUMBER,V,"null"
198,1,4,14,26,LOCAL_INCREMENT,I,"amount=1,varindex=4,name=i,type=I"
199,1,4,14,27,JUMP,V,"opcode=GOTO,jumpto=9"
200,1,4,18,28,LABEL,I,"null"
201,1,4,18,29,LINE_NUMBER,V,"null"
202,1,4,18,31,LOCAL_LOAD,Ljava/lang/Object;,"varindex=3,name=result,type=Ljava/lang/Integer;"
203,1,4,18,32,METHOD_NORMAL_EXIT,Ljava/lang/Object;,"null"
204,1,4,18,33,LABEL,I,"null"
205,1,4,18,34,CATCH_LABEL,I,"location=exceptional-exit"
206,1,4,18,34,CATCH,Ljava/lang/Object;,"location=exceptional-exit,type=Ljava/lang/Throwable;,start=0,end=34,handler=34"
207,1,4,18,34,METHOD_EXCEPTIONAL_EXIT,Ljava/lang/Object;,"location=exceptional-exit-rethrow"
208,1,5,23,-1,RESERVED,V,"null"
209,1,5,23,0,METHOD_ENTRY,Ljava/lang/Object;,"methodtype=instance,index=0"
210,1,5,23,0,METHOD_PARAM,Ljava/lang/Object;,"index=1"
211,1,5,23,0,METHOD_PARAM,Ljava/lang/Object;,"index=2"
212,1,5,23,0,LABEL,I,"null"
213,1,5,23,1,LINE_NUMBER,V,"null"
214,1,5,23,3,CALL,V,"opcode=INVOKESTATIC,owner=java/lang/Integer,name=valueOf,desc=(I)Ljava/lang/Integer;,methodtype=static"
215,1,5,23,3,CALL_PARAM,I,"index=0,type=I"
216,1,5,23,3,CALL_RETURN,Ljava/lang/Object;,"type=Ljava/lang/Integer;"
217,1,5,23,4,LOCAL_STORE,Ljava/lang/Object;,"varindex=3,name=result,type=Ljava/lang/Integer;"
218,1,5,25,5,LABEL,I,"null"
219,1,5,25,6,LINE_NUMBER,V,"null"
220,1,5,25,8,LOCAL_STORE,I,"varindex=4,name=i,type=I"
221,1,5,25,9,LABEL,I,"null"
222,1,5,25,11,LOCAL_LOAD,I,"varindex=4,name=i,type=I"
223,1,5,25,12,LOCAL_LOAD,Ljava/lang/Object;,"varindex=2,name=b,type=Ljava/lang/Integer;"
224,1,5,25,13,CALL,Ljava/lang/Object;,"opcode=INVOKEVIRTUAL,owner=java/lang/Integer,name=intValue,desc=()I,methodtype=instance"
225,1,5,25,13,CALL_RETURN,I,"type=I"
226,1,5,25,14,JUMP,V,"opcode=IF_ICMPGE,jumpto=26"
227,1,5,27,15,LABEL,I,"null"
228,1,5,27,16,LINE_NUMBER,V,"null"
229,1,5,27,18,LOCAL_LOAD,Ljava/lang/Object;,"varindex=3,name=result,type=Ljava/lang/Integer;"
230,1,5,27,19,LOCAL_LOAD,Ljava/lang/Object;,"varindex=1,name=a,type=Ljava/lang/Integer;"
231,1,5,27,20,CALL,Ljava/lang/Object;,"opcode=INVOKEVIRTUAL,owner=customClass/myMath,name=computeMultiple,desc=(Ljava/lang/Integer;Ljava/lang/Integer;)Ljava/lang/Integer;,methodtype=instance"
232,1,5,27,20,CALL_PARAM,Ljava/lang/Object;,"index=1,type=Ljava/lang/Integer;"
233,1,5,27,20,CALL_PARAM,Ljava/lang/Object;,"index=2,type=Ljava/lang/Integer;"
234,1,5,27,20,CALL_RETURN,Ljava/lang/Object;,"type=Ljava/lang/Integer;"
235,1,5,27,21,LOCAL_STORE,Ljava/lang/Object;,"varindex=3,name=result,type=Ljava/lang/Integer;"
236,1,5,25,22,LABEL,I,"null"
237,1,5,25,23,LINE_NUMBER,V,"null"
238,1,5,25,24,LOCAL_INCREMENT,I,"amount=1,varindex=4,name=i,type=I"
239,1,5,25,25,JUMP,V,"opcode=GOTO,jumpto=9"
240,1,5,30,26,LABEL,I,"null"
241,1,5,30,27,LINE_NUMBER,V,"null"
242,1,5,30,29,LOCAL_LOAD,Ljava/lang/Object;,"varindex=3,name=result,type=Ljava/lang/Integer;"
243,1,5,30,30,METHOD_NORMAL_EXIT,Ljava/lang/Object;,"null"
244,1,5,30,31,LABEL,I,"null"
245,1,5,30,32,CATCH_LABEL,I,"location=exceptional-exit"
246,1,5,30,32,CATCH,Ljava/lang/Object;,"location=exceptional-exit,type=Ljava/lang/Throwable;,start=0,end=32,handler=32"
247,1,5,30,32,METHOD_EXCEPTIONAL_EXIT,Ljava/lang/Object;,"location=exceptional-exit-rethrow"
248,1,6,35,-1,RESERVED,V,"null"
249,1,6,35,0,METHOD_ENTRY,Ljava/lang/Object;,"methodtype=instance,index=0"
250,1,6,35,0,METHOD_PARAM,I,"index=1"
251,1,6,35,0,METHOD_PARAM,I,"index=2"
252,1,6,35,0,LABEL,I,"null"
253,1,6,35,1,LINE_NUMBER,V,"null"
254,1,6,35,2,LOCAL_LOAD,I,"varindex=1,name=a,type=I"
255,1,6,35,3,LOCAL_LOAD,I,"varindex=2,name=b,type=I"
256,1,6,35,5,METHOD_NORMAL_EXIT,I,"null"
257,1,6,35,6,LABEL,I,"null"
258,1,6,35,7,CATCH_LABEL,I,"location=exceptional-exit"
259,1,6,35,7,CATCH,Ljava/lang/Object;,"location=exceptional-exit,type=Ljava/lang/Throwable;,start=0,end=7,handler=7"
260,1,6,35,7,METHOD_EXCEPTIONAL_EXIT,Ljava/lang/Object;,"location=exceptional-exit-rethrow"
261,1,7,40,-1,RESERVED,V,"null"
262,1,7,40,0,METHOD_ENTRY,Ljava/lang/Object;,"methodtype=instance,index=0"
263,1,7,40,0,METHOD_PARAM,I,"index=1"
264,1,7,40,0,LABEL,I,"null"
265,1,7,40,1,LINE_NUMBER,V,"null"
266,1,7,40,2,LOCAL_LOAD,I,"varindex=1,name=ub,type=I"
267,1,7,40,4,JUMP,V,"opcode=IF_ICMPGT,jumpto=10"
268,1,7,42,5,LABEL,I,"null"
269,1,7,42,6,LINE_NUMBER,V,"null"
270,1,7,42,8,CALL,V,"opcode=INVOKESTATIC,owner=java/lang/Boolean,name=valueOf,desc=(Z)Ljava/lang/Boolean;,methodtype=static"
271,1,7,42,8,CALL_PARAM,Z,"index=0,type=Z"
272,1,7,42,8,CALL_RETURN,Ljava/lang/Object;,"type=Ljava/lang/Boolean;"
273,1,7,42,9,METHOD_NORMAL_EXIT,Ljava/lang/Object;,"null"
274,1,7,45,10,LABEL,I,"null"
275,1,7,45,11,LINE_NUMBER,V,"null"
276,1,7,45,14,LOCAL_STORE,I,"varindex=2,name=i,type=I"
277,1,7,45,15,LABEL,I,"null"
278,1,7,45,17,LOCAL_LOAD,I,"varindex=2,name=i,type=I"
279,1,7,45,18,LOCAL_LOAD,I,"varindex=2,name=i,type=I"
280,1,7,45,20,LOCAL_LOAD,I,"varindex=1,name=ub,type=I"
281,1,7,45,21,JUMP,V,"opcode=IF_ICMPGT,jumpto=38"
282,1,7,47,22,LABEL,I,"null"
283,1,7,47,23,LINE_NUMBER,V,"null"
284,1,7,47,24,LOCAL_LOAD,I,"varindex=1,name=ub,type=I"
285,1,7,47,25,LOCAL_LOAD,I,"varindex=2,name=i,type=I"
286,1,7,47,27,JUMP,V,"opcode=IFNE,jumpto=33"
287,1,7,48,28,LABEL,I,"null"
288,1,7,48,29,LINE_NUMBER,V,"null"
289,1,7,48,31,CALL,V,"opcode=INVOKESTATIC,owner=java/lang/Boolean,name=valueOf,desc=(Z)Ljava/lang/Boolean;,methodtype=static"
290,1,7,48,31,CALL_PARAM,Z,"index=0,type=Z"
291,1,7,48,31,CALL_RETURN,Ljava/lang/Object;,"type=Ljava/lang/Boolean;"
292,1,7,48,32,METHOD_NORMAL_EXIT,Ljava/lang/Object;,"null"
293,1,7,45,33,LABEL,I,"null"
294,1,7,45,34,LINE_NUMBER,V,"null"
295,1,7,45,36,LOCAL_INCREMENT,I,"amount=1,varindex=2,name=i,type=I"
296,1,7,45,37,JUMP,V,"opcode=GOTO,jumpto=15"
297,1,7,50,38,LABEL,I,"null"
298,1,7,50,39,LINE_NUMBER,V,"null"
299,1,7,50,42,CALL,V,"opcode=INVOKESTATIC,owner=java/lang/Boolean,name=valueOf,desc=(Z)Ljava/lang/Boolean;,methodtype=static"
300,1,7,50,42,CALL_PARAM,Z,"index=0,type=Z"
301,1,7,50,42,CALL_RETURN,Ljava/lang/Object;,"type=Ljava/lang/Boolean;"
302,1,7,50,43,METHOD_NORMAL_EXIT,Ljava/lang/Object;,"null"
303,1,7,50,44,LABEL,I,"null"
304,1,7,50,45,CATCH_LABEL,I,"location=exceptional-exit"
305,1,7,50,45,CATCH,Ljava/lang/Object;,"location=exceptional-exit,type=Ljava/lang/Throwable;,start=0,end=45,handler=45"
306,1,7,50,45,METHOD_EXCEPTIONAL_EXIT,Ljava/lang/Object;,"location=exceptional-exit-rethrow"
307,1,8,55,-1,RESERVED,V,"null"
308,1,8,55,0,METHOD_ENTRY,Ljava/lang/Object;,"methodtype=instance,index=0"
309,1,8,55,0,METHOD_PARAM,I,"index=1"
310,1,8,55,0,LABEL,I,"null"
311,1,8,55,1,LINE_NUMBER,V,"null"
312,1,8,55,2,NEW_OBJECT,V,"type=java/util/ArrayList"
313,1,8,55,4,CALL,V,"opcode=INVOKESPECIAL,owner=java/util/ArrayList,name=<init>,desc=()V,methodtype=constructor,created=2"
314,1,8,55,4,CALL_RETURN,V,"type=V"
315,1,8,55,4,NEW_OBJECT_CREATED,Ljava/lang/Object;,"created=2"
316,1,8,55,5,LOCAL_STORE,Ljava/lang/Object;,"varindex=2,name=prime,type=Ljava/util/List;"
317,1,8,57,6,LABEL,I,"null"
318,1,8,57,7,LINE_NUMBER,V,"null"
319,1,8,57,9,CALL,V,"opcode=INVOKESTATIC,owner=java/lang/Integer,name=valueOf,desc=(I)Ljava/lang/Integer;,methodtype=static"
320,1,8,57,9,CALL_PARAM,I,"index=0,type=I"
321,1,8,57,9,CALL_RETURN,Ljava/lang/Object;,"type=Ljava/lang/Integer;"
322,1,8,57,10,LOCAL_STORE,Ljava/lang/Object;,"varindex=3,name=i,type=Ljava/lang/Integer;"
323,1,8,57,11,LABEL,I,"null"
324,1,8,57,13,LOCAL_LOAD,Ljava/lang/Object;,"varindex=3,name=i,type=Ljava/lang/Integer;"
325,1,8,57,14,CALL,Ljava/lang/Object;,"opcode=INVOKEVIRTUAL,owner=java/lang/Integer,name=intValue,desc=()I,methodtype=instance"
326,1,8,57,14,CALL_RETURN,I,"type=I"
327,1,8,57,15,LOCAL_LOAD,I,"varindex=1,name=ub,type=I"
328,1,8,57,16,JUMP,V,"opcode=IF_ICMPGT,jumpto=41"
329,1,8,59,17,LABEL,I,"null"
330,1,8,59,18,LINE_NUMBER,V,"null"
331,1,8,59,20,LOCAL_LOAD,Ljava/lang/Object;,"varindex=3,name=i,type=Ljava/lang/Integer;"
