DataID,ClassID,MethodID,Line,InstructionIndex,EventType,ValueDesc,Attributes
82,0,1,22,54,LOCAL_STORE,I,"varindex=7,name=idx,type=I"
83,0,1,22,55,LABEL,I,"null"
84,0,1,22,57,LOCAL_LOAD,I,"varindex=7,name=idx,type=I"
85,0,1,22,58,LOCAL_LOAD,Ljava/lang/Object;,"varindex=6,name=primes,type=Ljava/util/List;"
86,0,1,22,59,CALL,Ljava/lang/Object;,"opcode=INVOKEINTERFACE,owner=java/util/List,name=size,desc=()I,methodtype=instance"
87,0,1,22,59,CALL_RETURN,I,"type=I"
88,0,1,22,60,JUMP,V,"opcode=IF_ICMPGE,jumpto=86"
89,0,1,24,61,LABEL,I,"null"
90,0,1,24,62,LINE_NUMBER,V,"null"
91,0,1,24,63,LOCAL_LOAD,Ljava/lang/Object;,"varindex=6,name=primes,type=Ljava/util/List;"
92,0,1,24,64,LOCAL_LOAD,I,"varindex=7,name=idx,type=I"
93,0,1,24,65,CALL,Ljava/lang/Object;,"opcode=INVOKEINTERFACE,owner=java/util/List,name=get,desc=(I)Ljava/lang/Object;,methodtype=instance"
94,0,1,24,65,CALL_PARAM,I,"index=1,type=I"
95,0,1,24,65,CALL_RETURN,Ljava/lang/Object;,"type=Ljava/lang/Object;"
96,0,1,24,67,CALL,Ljava/lang/Object;,"opcode=INVOKEVIRTUAL,owner=java/lang/Integer,name=intValue,desc=()I,methodtype=instance"
97,0,1,24,67,CALL_RETURN,I,"type=I"
98,0,1,24,68,CALL,V,"opcode=INVOKESTATIC,owner=java/lang/Integer,name=toString,desc=(I)Ljava/lang/String;,methodtype=static"
99,0,1,24,68,CALL_PARAM,I,"index=0,type=I"
100,0,1,24,68,CALL_RETURN,Ljava/lang/Object;,"type=Ljava/lang/String;"
101,0,1,24,69,LOCAL_STORE,Ljava/lang/Object;,"varindex=8,name=prime,type=Ljava/lang/String;"
102,0,1,25,70,LABEL,I,"null"
103,0,1,25,71,LINE_NUMBER,V,"null"
104,0,1,25,72,GET_STATIC_FIELD,Ljava/lang/Object;,"owner=java/lang/System,name=out,type=Ljava/io/PrintStream;"
105,0,1,25,73,NEW_OBJECT,V,"type=java/lang/StringBuilder"
106,0,1,25,75,CALL,V,"opcode=INVOKESPECIAL,owner=java/lang/StringBuilder,name=<init>,desc=()V,methodtype=constructor,created=73"
107,0,1,25,75,CALL_RETURN,V,"type=V"
108,0,1,25,75,NEW_OBJECT_CREATED,Ljava/lang/Object;,"created=73"
109,0,1,25,76,LOCAL_LOAD,Ljava/lang/Object;,"varindex=8,name=prime,type=Ljava/lang/String;"
110,0,1,25,77,CALL,Ljava/lang/Object;,"opcode=INVOKEVIRTUAL,owner=java/lang/StringBuilder,name=append,desc=(Ljava/lang/String;)Ljava/lang/StringBuilder;,methodtype=instance"
111,0,1,25,77,CALL_PARAM,Ljava/lang/Object;,"index=1,type=Ljava/lang/String;"
112,0,1,25,77,CALL_RETURN,Ljava/lang/Object;,"type=Ljava/lang/StringBuilder;"
113,0,1,25,78,OBJECT_CONSTANT_LOAD,Ljava/lang/Object;,"type=java.lang.String"
114,0,1,25,79,CALL,Ljava/lang/Object;,"opcode=INVOKEVIRTUAL,owner=java/lang/StringBuilder,name=append,desc=(Ljava/lang/String;)Ljava/lang/StringBuilder;,methodtype=instance"
115,0,1,25,79,CALL_PARAM,Ljava/lang/Object;,"index=1,type=Ljava/lang/String;"
